,park_name,census_tract
0,Community Garden Association,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
1,Each One Teach One,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
2,Highland Park Childrens Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
3,Collyer Brothers Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
4,Estella Diggs Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
5,American Veterans Memorial Pier,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
6,Harding Park Beautification Project,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
7,Frontera Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
8,Skate Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
9,Yellowstone Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
10,Jackie Robinson Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
11,Sunset Cove Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
12,P.S. 173,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
13,P.S. 172,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
14,Fort Hill Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
15,P.S. 176,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
16,Vernon/throop Av Block Association,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
17,Samuel Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
18,Haffen Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
19,Bethesda Terrace,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
20,Hope Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
21,Green Gems,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
22,Beanstalk Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
23,Grand Central Parkway Extension,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
24,Horseshoe Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
25,Forest Grove,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
26,Manley's Pl,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
