,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total,household,median_income,average_score,public_house,business
0,2014-q3,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,17.0,1.0,0.0,18.0,1069.0,34453.0,0.625,0.0,
1,2014-q4,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,20.0,1069.0,34453.0,0.625,0.0,
2,2015-q1,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,1069.0,34453.0,0.625,0.0,
3,2015-q2,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,24.0,0.0,0.0,24.0,1069.0,34453.0,0.625,0.0,
4,2015-q3,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,1.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,16.0,1.0,0.0,17.0,1069.0,34453.0,0.625,0.0,
5,2015-q4,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,1069.0,34453.0,0.625,0.0,
6,2016-q1,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,1069.0,34453.0,0.625,0.0,
7,2016-q2,bronx park,BRONX        ,718.37,ONE ACRE OR LARGER,0.0,0.0,2.0,2.0,0.0,2.0,0.0,6.0,5.0,2.0,0.0,7.0,1069.0,34453.0,0.625,0.0,
8,2016-q3,bronx park,BRONX        ,718.37,ONE ACRE OR LARGER,0.0,0.0,5.0,3.0,0.0,4.0,0.0,12.0,15.0,0.0,0.0,15.0,1069.0,34453.0,0.625,0.0,
9,2014-q3,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1122.0,100645.0,0.6875,0.0,
10,2014-q4,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1122.0,100645.0,0.6875,0.0,
11,2015-q1,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,1122.0,100645.0,0.6875,0.0,
12,2015-q2,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1122.0,100645.0,0.6875,0.0,
13,2015-q3,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1122.0,100645.0,0.6875,0.0,
14,2015-q4,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,1122.0,100645.0,0.6875,0.0,
15,2016-q1,silver lake park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1122.0,100645.0,0.6875,0.0,
16,2016-q2,silver lake park,STATEN ISLAND,205.98,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,18.0,1122.0,100645.0,0.6875,0.0,
17,2016-q3,silver lake park,STATEN ISLAND,205.98,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,1122.0,100645.0,0.6875,0.0,
18,2014-q3,blood root valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,2904.0,91144.0,0.375,0.0,
19,2014-q4,blood root valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2904.0,91144.0,0.375,0.0,
20,2015-q1,blood root valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2904.0,91144.0,0.375,0.0,
21,2015-q2,blood root valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2904.0,91144.0,0.375,0.0,
22,2015-q3,blood root valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,2904.0,91144.0,0.375,0.0,
