,park_name,census_tract
0,Community Garden Association,[u'1400000US36061003400']
1,Each One Teach One,[u'1400000US36061024200']
2,Highland Park Childrens Garden,[u'1400000US36047118000']
3,Collyer Brothers Park,[u'1400000US36061020800']
4,Estella Diggs Park,[u'1400000US36005018500']
5,American Veterans Memorial Pier,[u'1400000US36047003400']
6,Harding Park Beautification Project,[u'1400000US36005000200']
7,Frontera Park,[u'1400000US36081051700']
8,Skate Park,[u'1400000US36061019500']
9,Yellowstone Park,[u'1400000US36081074100']
10,Jackie Robinson Playground,[u'1400000US36047032500']
11,Sunset Cove Park,"[u'1400000US36081107201', u'1400000US36081107202']"
12,P.S. 173,[u'1400000US36061026300']
13,P.S. 172,[u'1400000US36047010100']
14,Fort Hill Park,[u'1400000US36085000900']
15,P.S. 176,[u'1400000US36047019600']
16,Vernon/throop Av Block Association,[u'1400000US36047028300']
17,Samuel Triangle,[u'1400000US36061021800']
18,Haffen Park,[u'1400000US36005035800']
19,Bethesda Terrace,[u'1400000US36061014300']
20,Hope Garden,[u'1400000US36061003002']
21,Green Gems,[u'1400000US36047119600']
22,Beanstalk Playground,[u'1400000US36005024501']
23,Grand Central Parkway Extension,"[u'1400000US36081038302', u'1400000US36081031700', u'1400000US36081030904', u'1400000US36081038100', u'1400000US36081037300', u'1400000US36081033100', u'1400000US36081021600', u'1400000US36081039900', u'1400000US36081035700', u'1400000US36081043701', u'1400000US36081013700', u'1400000US36081037100']"
24,Horseshoe Playground,[u'1400000US36005013100']
25,Forest Grove,[u'1400000US36085032300']
26,Manley's Pl,[u'1400000US36047119200']
27,Myrtle Avenue Clemens Triangle,[u'1400000US36081055100']
28,Louis Pl Friends,[u'1400000US36047030100']
29,P.S. 3,"[u'1400000US36085019800', u'1400000US36005037504']"
30,Simeone Park,[u'1400000US36081044301']
31,P.S. 7,[u'1400000US36005028700']
32,P.S. 6,[u'1400000US36085024401']
33,Washington's Walk,[u'1400000US36005026702']
34,P.S. 4,[u'1400000US36085017010']
35,Studley Triangle,[u'1400000US36081117100']
36,Rockaway Freeway /kohlridir Sq,[u'1400000US36081099200']
37,P.s. 241 - Manhattan,[u'1400000US36061021600']
38,John Allen Payne Park,[u'1400000US36047002200']
39,Inwood Park,[u'1400000US36005022702']
40,Wakefield Playground,[u'1400000US36005041400']
41,Staten Island Industrial Park,"[u'1400000US36085029102', u'1400000US36085029104', u'1400000US36085029103']"
42,Lt. Wm. Tighe Triangle,[u'1400000US36061028700']
43,Crotona Parkway Malls,"[u'1400000US36005036300', u'1400000US36005035900', u'1400000US36005016100', u'1400000US36005033400']"
44,United Community Centers Youth Farm,[u'1400000US36047091600']
45,P.s. 6 - Staten Island,[u'1400000US36085024401']
46,Claremont Park,"[u'1400000US36005017100', u'1400000US36005022902']"
47,Harlem RBI,[u'1400000US36061016400']
48,Thomas Jefferson Park,"[u'1400000US36061017800', u'1400000US36061016200']"
49,Chelsea Park,[u'1400000US36061009700']
50,I.S. 391,[u'1400000US36005037900']
51,Sunflower Garden,[u'1400000US36005002701']
52,Barretto Point Park,[u'1400000US36005009300']
53,Cough Triangle,[u'1400000US36047006500']
54,All People's Church Of The Apostolic Faith,[u'1400000US36047025901']
55,Freshkills Park,"[u'1400000US36085022800', u'1400000US36085029102', u'1400000US36085029103']"
56,United We Stand Garden,[u'1400000US36005002701']
57,Bellerose Playground,[u'1400000US36081157101']
58,Wood Park,[u'1400000US36005021601']
59,Georgia Ave Garden,[u'1400000US36047112800']
60,United Block Association Garden,[u'1400000US36061020800']
61,Wagner Houses Pool,[u'1400000US36061024200']
62,Open Road Park,[u'1400000US36061003400']
63,Jes Good Rewards Childeren's Garden,[u'1400000US36047090200']
64,Baisley Pond Park,"[u'1400000US36081028800', u'1400000US36081029400']"
65,St. George Park,[u'1400000US36085000700']
66,Marie Curie Park,[u'1400000US36081144700']
67,Bennett Park,[u'1400000US36061027300']
68,Triangle 90,[u'1400000US36081027100']
69,Jennifer's Playground,[u'1400000US36085030301']
70,Soundview Park,"[u'1400000US36005002400', u'1400000US36005000200', u'1400000US36005000400', u'1400000US36005002000']"
71,Grace Playground,[u'1400000US36047114400']
72,Hook Creek Wildlife Sanctury,[u'1400000US36081066400']
73,P.S. 34,[u'1400000US36047057300']
74,P.S. 37,[u'1400000US36085014605']
