PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,pelham bay park,BRONX        ,2771.747,ONE ACRE OR LARGER,0,0,0,0,1,1,0,2
2014-q3,van cortlandt park,BRONX        ,1146.43,ONE ACRE OR LARGER,0,0,2,3,3,3,0,11
2014-q3,rockaway beach and boardwalk,QUEENS       ,1072.564,ONE ACRE OR LARGER,0,0,2,2,0,8,0,12
2014-q3,freshkills park,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,flushing meadows corona park,QUEENS       ,897.69,ONE ACRE OR LARGER,0,0,2,4,4,21,2,33
2014-q3,latourette park & golf course,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1
2014-q3,marine park,BROOKLYN     ,798,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,belt parkway/shore parkway,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0,0,1,0,0,2,0,3
2014-q3,franklin d. roosevelt boardwalk and beach,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,alley pond park,QUEENS       ,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,prospect park,BROOKLYN     ,526.25,ONE ACRE OR LARGER,0,0,2,1,0,2,0,5
2014-q3,forest park,QUEENS       ,506.86,ONE ACRE OR LARGER,0,0,3,1,0,3,0,7
2014-q3,grand central parkway,QUEENS       ,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,ferry point park,BRONX        ,413.8,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
2014-q3,coney island beach & boardwalk,BROOKLYN     ,399.203,ONE ACRE OR LARGER,0,3,2,1,0,8,0,14
2014-q3,cunningham park,QUEENS       ,358,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
2014-q3,richmond parkway,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,cross island parkway,QUEENS       ,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
