,SiteName,Inspections_Inspection_OverallCondition,Inspections_Inspection_OverallCleanliness,Inspections_Inspection_Cleanliness_Glass,Inspections_Inspection_Cleanliness_Graffiti,Inspections_Inspection_Cleanliness_Litter,Inspections_Inspection_Cleanliness_Weeds,Inspections_Inspection_Landscape_Lawns,Inspections_Inspection_Landscape_Trees,Inspections_Inspection_Landscape,Inspections_Inspection_Structural_Benches,Inspections_Inspection_Structural_Fences,Inspections_Inspection_Structural_PavedSurfaces,Inspections_Inspection_Structural_PlayEquipment,Inspections_Inspection_Structural_SafetySurface,Inspections_Inspection_Structural_Sidewalks,Inspections_Inspection_Structural,average_score,ZIPCODE,the_geom,ACRES,WATERFRONT,TYPECATEGO
0,American Playground,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,11222,"MULTIPOLYGON (((-73.95749594420685 40.72852976621232, -73.95819511518695 40.7284656736169, -73.95828283298293 40.72900957849866, -73.95758379432932 40.72907453255907, -73.95749594420685 40.72852976621232)))",0.896,No,Playground
1,Amersfort Park,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6875,11210,"MULTIPOLYGON (((-73.93854175927676 40.627617927057415, -73.9392485926319 40.627574777893095, -73.93948187060798 40.62969437794621, -73.93877244178253 40.62973497419117, -73.93854175927676 40.627617927057415)))",3.557,No,Neighborhood Park
2,Bartel-Pritchard Square,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,11215,"MULTIPOLYGON (((-73.97986647133193 40.660821091078425, -73.97987459999162 40.66082107719214, -73.97988272385655 40.66082127762732, -73.9798908334675 40.660821689680795, -73.97989892054629 40.66082231515218, -73.9799069744512 40.66082315133802, -73.97991498572156 40.660824200037716, -73.979922943716 40.66082545674687, -73.97993084133907 40.660826923265276, -73.97993866794937 40.66082859508849, -73.97994641290516 40.660830469513144, -73.97995406911079 40.660832548338995, -73.9799616271075 40.66083482706194, -73.97996896628759 40.66083727414281, -73.97997619070681 40.66083991031168, -73.97998329326926 40.66084273826888, -73.97999026215325 40.6608457463057, -73.97999709026234 40.6608489389235, -73.98000377050391 40.660852308016366, -73.98001029578387 40.66085584998109, -73.98001665546096 40.660859560313234, -73.98002284480586 40.66086343631048, -73.98002885436033 40.660867471667565, -73.9800346770306 40.6608716618807, -73.9800403069048 40.66087600424741, -73.98004573689029 40.66088049066175, -73.98005095989329 40.660885116620015, -73.98005597355025 40.66088987671866, -73.98006076603714 40.660894767353646, -73.98006533499223 40.66089977681787, -73.98006967686757 40.660904906911725, -73.98007378102375 40.66091014592675, -73.98007764746193 40.66091549026087, -73.98008126908852 40.66092093450977, -73.98008464235905 40.660926467866695, -73.98008776254427 40.6609320876293, -73.980090628464 40.660937785692724, -73.98009323420743 40.660943555752354, -73.98009557741184 40.66094938970316, -73.98009804673818 40.66095659336119, -73.98009956594673 40.660961680641215, -73.98010110378532 40.660967742283226, -73.98010247469074 40.6609744657759, -73.98010341888771 40.66098057684356, -73.98010408518557 40.66098670767451, -73.98010447003892 40.660992851064, -73.98010457699763 40.66099899890802, -73.9801044013334 40.66100514490212, -73.98010411142127 40.661009758197515, -73.9801036169465 40.661014323730164, -73.98010274596852 40.66102043178227, -73.98010159592239 40.66102651277062, -73.98010017154058 40.66103255859136, -73.98009845624435 40.661038647586516, -73.98009646898164 40.66104468700619, -73.98009420975475 40.6610506687457, -73.98009233886123 40.6610550917585, -73.98009032843423 40.66105949853779, -73.98008740467769 40.66106530906406, -73.98008421842377 40.6610710393988, -73.98008077440514 40.661076680537704, -73.98007707735378 40.661082226177925, -73.98007313200081 40.66108767271824, -73.98006894307905 40.66109301115421, -73.98006451531982 40.661098236984095, -73.98005985345534 40.66110334300458, -73.98005496221738 40.661108323813274, -73.98004984988577 40.66111317220749, -73.98004534088733 40.66111720123627, -73.98003978162505 40.661121828926014, -73.9800340142814 40.6611263088947, -73.98002847057917 40.66113030622511, -73.98002188610464 40.66113479595697, -73.98001553591668 40.66113879494773, -73.98000999125351 40.66114204574898, -73.980003375101 40.66114569259096, -73.97999659935917 40.66114916380407, -73.9799896675765 40.66115245668736, -73.97998259276297 40.66115556403901, -73.97997473037036 40.66115872078154, -73.97996654754816 40.66116175679849, -73.97996057281844 40.661163749501085, -73.97995299684156 40.66116608772257, -73.97994531922716 40.6611682251107, -73.97993754825347 40.66117015986588, -73.97992969456388 40.66117189018889, -73.97992176407219 40.66117341247861, -73.97991580146628 40.6611744056078, -73.97990977266824 40.6611753005688, -73.97990177020476 40.66117628073376, -73.97989574858532 40.661176897435745, -73.97988970336225 40.661177358343906, -73.97988161591456 40.661177813491534, -73.97987350960986 40.66117805791444, -73.97986539509212 40.66117808801248, -73.97985728418642 40.66117790468816, -73.97984918398714 40.661177510644286, -73.97984110277291 40.66117690318085, -73.97983128454618 40.66117589468243, -73.9798233252727 40.661174824373695, -73.97981541691115 40.661173546054, -73.9798075701038 40.66117206152637, -73.97979979549208 40.66117037529518, -73.97979210253708 40.661168484660585, -73.97978449596768 40.66116639412599, -73.9797769899728 40.66116410819659, -73.97976959164811 40.66116162597301, -73.9797623092698 40.661158951959365, -73.97975515111438 40.66115609065974, -73.97974812782402 40.66115304387699, -73.9797412429459 40.66114981341289, -73.97973450948525 40.661146407374304, -73.9797279333546 40.66114282666293, -73.97972152164739 40.66113907668306, -73.97971528382254 40.66113516193897, -73.97970922579192 40.66113108513332, -73.9797033534662 40.66112685257077, -73.97969767512146 40.66112246965592, -73.97969219903378 40.661117941793364, -73.97968692993203 40.66111327258603, -73.9796818713617 40.66110846923869, -73.97967703514671 40.66110353625605, -73.97967242365031 40.66109847904164, -73.97966804160053 40.66109330480045, -73.97966389490794 40.66108801983722, -73.97965999066638 40.66108262865578, -73.97965633005553 40.6610771402615, -73.97965291898662 40.661071559158046, -73.97964991120118 40.661065842147856, -73.97964716241303 40.66106004773901, -73.97964467498345 40.66105418853914, -73.9796424512768 40.661048266349766, -73.97964049247308 40.66104228927573, -73.97963880566519 40.6610362645224, -73.97963738966772 40.66103020109481, -73.97963624329624 40.66102410529634, -73.97963537246217 40.6610179807301, -73.97963477597959 40.66101183820209, -73.97963445384597 40.661005685816995, -73.97963440960827 40.6609995253764, -73.97963463971524 40.66099336858645, -73.97963514653023 40.66098722085064, -73.97963592768564 40.66098109027324, -73.97963698317915 40.660974984058285, -73.97963831182626 40.6609689085093, -73.97963991244224 40.66096287083003, -73.97964178147713 40.66095687822412, -73.97964391892899 40.660950936995114, -73.97964632006527 40.660945055246806, -73.9796489848833 40.6609392410838, -73.9796519062871 40.660933497206436, -73.97965508545646 40.660927832620004, -73.9796585152936 40.66092225542789, -73.97966219224932 40.660916771032575, -73.97966611395763 40.660911382135104, -73.97967027568468 40.66090610134193, -73.97967467033494 40.66090092955223, -73.97967929435809 40.66089587577053, -73.97968414065699 40.66089094629918, -73.9796892068658 40.66088614383925, -73.97969448470411 40.66088147739444, -73.97969996944121 40.660876948764916, -73.97970565043171 40.660872566953906, -73.9797115276745 40.66086833556349, -73.97971759052571 40.6608642581938, -73.97972383188839 40.6608603411472, -73.97973024584884 40.66085658802464, -73.97973684778614 40.66085297811695, -73.97974361167492 40.6608495438381, -73.97975052450641 40.66084628878784, -73.97975758154949 40.66084321656737, -73.97976477334235 40.6608403325781, -73.9797720916066 40.66083763952012, -73.9797795256995 40.6608351373915, -73.97978706970636 40.66083283339531, -73.97979471416681 40.66083072843045, -73.97980244843684 40.660828826997516, -73.97981026542192 40.66082712729429, -73.97981815447748 40.660825635622466, -73.97982610496118 40.66082435107965, -73.97983410977713 40.66082327636613, -73.97984215946529 40.66082241148023, -73.97985024101686 40.660821760021776, -73.97985834852037 40.66082131838758, -73.97986647133193 40.660821091078425)))",1.711,No,Triangle/Plaza
3,Beattie Square,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11221,"MULTIPOLYGON (((-73.93448055059585 40.69641092056596, -73.93460046424683 40.69639537567833, -73.93462103037167 40.696488918218876, -73.93448055059585 40.69641092056596)))",0.012,No,Triangle/Plaza
4,Bensonhurst Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11214,"MULTIPOLYGON (((-74.00020282563159 40.59646464786879, -74.00015667374713 40.59646008049048, -74.00028855848369 40.59645351902743, -74.00042634069594 40.5964538022635, -74.00049777768405 40.59645440622692, -74.00069503313284 40.59646469907681, -74.00084297892079 40.59647452458918, -74.00100400389108 40.59648791136436, -74.00117872360545 40.5965064244493, -74.00137433868447 40.59653190436376, -74.00152108359087 40.59655650569234, -74.00164090002353 40.59657659200102, -74.00169261060661 40.59658526058181, -74.00182100167115 40.59660678471055, -74.0019102912941 40.59662679647454, -74.00198967253273 40.596641472744906, -74.00196479130565 40.59663901114429, -74.00196749078866 40.59663961624924, -74.00203549296747 40.59665485640932, -74.00213894065291 40.59668130197762, -74.00223884304928 40.596706840695646, -74.00235066073454 40.59672512537444, -74.00246096884227 40.59674812961545, -74.00256942478921 40.59677578138891, -74.00267569189666 40.59680799515811, -74.0027794405715 40.59684467007861, -74.00267590529859 40.59694467736578, -74.00259792711951 40.59696239963759, -74.00252314836102 40.596986855893775, -74.0024525672681 40.59701772013013, -74.00238712420008 40.597054579895435, -74.00232769099891 40.597096944395936, -74.00227506035763 40.597144248997644, -74.0019873117116 40.597421452272705, -74.00114726110931 40.59823073174869, -74.00064426459241 40.597952071701926, -74.00028448337666 40.598272281824755, -73.99887183696816 40.5972954429983, -73.99967268718922 40.59652709251886, -73.99971081400251 40.59651955794875, -73.9997387454645 40.596514038712755, -73.99979441935315 40.596503036240975, -73.99979541407478 40.596503903446, -73.99984034444614 40.59649541339035, -73.99995074821342 40.59647708695564, -74.00009144019836 40.59646332604425, -74.00015667374713 40.59646008049048, -74.00015315324428 40.59646688664491, -74.00016686200067 40.59646602122358, -74.00019890816871 40.59646471901694, -74.00020282563159 40.59646464786879)), ((-74.00361293299328 40.59603957070104, -74.00309341486584 40.59654139487346, -74.0028942784352 40.59648528309644, -74.00290189657902 40.596498849277, -74.00266779186845 40.596421464939894, -74.00075963761574 40.59579069531526, -74.00072443499512 40.59577672123224, -74.00069276936588 40.595758483142404, -74.00066551849359 40.595736486236824, -74.00064344318582 40.59571134377027, -74.00062715539522 40.595683754547906, -74.00061710876867 40.59565448581509, -74.00061358210893 40.595624351644425, -74.00070924470975 40.59553256622229, -74.00082999065025 40.59541671317236, -74.00207275284235 40.59422428832026, -74.00245956178861 40.59491943472406, -74.00290903308245 40.595436029780544, -74.00322423520727 40.59570629433462, -74.0034440645659 40.59589478085305, -74.00361293299328 40.59603957070104)))",17.5,Yes,Recreation Field/Courts
14,Carroll Park,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,11231,"MULTIPOLYGON (((-73.99448698908022 40.68097488253069, -73.99471358201185 40.680639231879006, -73.99637391474644 40.68110076560748, -73.99613129403394 40.68160868373131, -73.99448698908022 40.68097488253069)))",1.874,No,Neighborhood Park
17,Middleton Playground,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,11206,"MULTIPOLYGON (((-73.95485764775498 40.70068373177407, -73.95551272358999 40.70025997708824, -73.95598399730686 40.70067915667433, -73.95532923253644 40.701103192399025, -73.95485764775498 40.70068373177407)))",1.101,No,Playground
22,Orient Grove,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11211,"MULTIPOLYGON (((-73.94009513965999 40.71483456502268, -73.94010248935453 40.71473416372065, -73.94078518865854 40.71476325939512, -73.94013890925679 40.71493103156906, -73.94009513965999 40.71483456502268)))",0.149,No,Garden
23,Cooper Park,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,11211,"MULTIPOLYGON (((-73.93636813561982 40.716657368751655, -73.9357602233205 40.71528428401339, -73.93862482114672 40.7153939792359, -73.93889717045302 40.71600486110742, -73.93636813561982 40.716657368751655)))",6.401,No,Neighborhood Park
24,Cuyler Gore Park,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,11238,"MULTIPOLYGON (((-73.97153804240897 40.685959729708735, -73.97138839291866 40.68520828679728, -73.97287074689753 40.6858049876585, -73.97153804240897 40.685959729708735)))",1.158,No,Neighborhood Park
