,park_name,census_tract,ct,household,median_income
0,Community Garden Association,"1400000US36061003400,",['1400000US36061003400'],3791,67166.0
1,Each One Teach One,"1400000US36061024200,",['1400000US36061024200'],1471,18275.0
2,Highland Park Childrens Garden,"1400000US36047118000,",['1400000US36047118000'],0,
3,Collyer Brothers Park,"1400000US36061020800,",['1400000US36061020800'],2077,42220.0
4,Estella Diggs Park,"1400000US36005018500,",['1400000US36005018500'],2439,26496.0
5,American Veterans Memorial Pier,"1400000US36047003400,",['1400000US36047003400'],1360,69848.0
6,Harding Park Beautification Project,"1400000US36005000200,",['1400000US36005000200'],1379,72034.0
7,Frontera Park,"1400000US36081051700,",['1400000US36081051700'],706,59412.0
8,Skate Park,"1400000US36061019500,",['1400000US36061019500'],3332,117045.0
9,Yellowstone Park,"1400000US36081074100,",['1400000US36081074100'],1547,69336.0
10,Jackie Robinson Playground,"1400000US36047032500,",['1400000US36047032500'],2481,43245.0
11,Sunset Cove Park,"1400000US36081107201,1400000US36081107202,","['1400000US36081107201', '1400000US36081107202']",838,71667.0
12,P.S. 173,"1400000US36061026300,",['1400000US36061026300'],2881,29308.0
13,P.S. 172,"1400000US36047010100,",['1400000US36047010100'],1508,43779.0
14,Fort Hill Park,"1400000US36085000900,",['1400000US36085000900'],628,52500.0
15,P.S. 176,"1400000US36047019600,",['1400000US36047019600'],1528,48382.0
16,Vernon/throop Av Block Association,"1400000US36047028300,",['1400000US36047028300'],1416,32917.0
17,Samuel Triangle,"1400000US36061021800,",['1400000US36061021800'],2782,47155.0
18,Haffen Park,"1400000US36005035800,",['1400000US36005035800'],2429,64957.0
19,Bethesda Terrace,"1400000US36061014300,",['1400000US36061014300'],0,
20,Hope Garden,"1400000US36061003002,",['1400000US36061003002'],1756,50625.0
21,Green Gems,"1400000US36047119600,",['1400000US36047119600'],1738,32115.0
22,Beanstalk Playground,"1400000US36005024501,",['1400000US36005024501'],1574,24864.0
