,GEO.id,GEO.id2,Household_total,Household_Food_Stamp_Received,year,"Income_Less_than_$10,000","Income_$10,000_14,999","Income_$15,000_24,999","Income_$25,000_34,999","Income_$35,000_49,999","Income_$50,000_74,999","Income_$75,000_99,999","Income_$100,000_149,999","Income_$150,000_199,999","Income_$200,000_or_more",Median_income,White_alone_percent,Black_or_African_American_alone_percent,American_Indian_and_Alaska_Native_alone_percent,Asian_alone_percent,Native_Hawaiian_and_Other_Pacific_Islander_alone_percent,Some_other_race_alone_percent
0,1400000US36001000100,36001000100,815,329,2015,16.7,14.4,18.8,7.6,10.8,15.7,8.1,6.7,0.9,0.4,25179.0,0.251374313,0.614192904,0.0,0.023988006,0.0,0.002998501
1,1400000US36001000200,36001000200,2006,932,2015,14.7,21.7,12.4,10.6,12.8,14.1,3.9,4.5,2.9,2.3,26337.0,0.123257358,0.829829608,0.0,0.002876743,0.0,0.008630228
2,1400000US36001000300,36001000300,2311,587,2015,14.5,6.7,23.4,5.6,11.9,20.6,9.3,5.8,1.3,0.9,32244.0,0.484553776,0.374713959,0.002669718,0.025743707,0.0,0.028413425
3,1400000US36001000401,36001000401,1037,8,2015,0.5,3.1,6.6,8.7,17.2,17.7,16.6,18.7,7.7,3.3,72168.0,0.912092447,0.041683863,0.01898473,0.02723896,0.0,0.0
4,1400000US36001000403,36001000403,2300,133,2015,7.2,13.0,9.8,6.3,11.5,15.5,13.1,14.7,4.9,3.9,52857.0,0.697679416,0.159217877,0.00795015,0.075204125,0.0,0.034379029
5,1400000US36001000404,36001000404,8,0,2015,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.683687661,0.159944367,0.0,0.079674151,0.000596066,0.033379694
6,1400000US36001000501,36001000501,1687,665,2015,15.6,12.9,14.5,15.1,9.0,21.1,4.0,5.9,1.5,0.5,29431.0,0.568919638,0.261575306,0.003725386,0.062799361,0.0,0.03166578
7,1400000US36001000502,36001000502,926,57,2015,11.4,3.2,8.1,13.0,18.8,25.4,10.3,9.2,0.0,0.6,45357.0,0.713370697,0.108086469,0.0,0.092340539,0.001601281,0.026954897
8,1400000US36001000600,36001000600,1358,525,2015,19.7,14.1,20.2,13.3,12.6,10.8,3.5,2.2,0.9,2.7,22067.0,0.356271098,0.429498831,0.004933783,0.080498572,0.0,0.097636977
9,1400000US36001000700,36001000700,1393,509,2015,16.2,9.0,17.9,14.4,9.5,14.8,11.5,3.9,1.6,1.3,28657.0,0.142347848,0.799337917,0.0,0.004329004,0.0,0.011459129
10,1400000US36001000800,36001000800,868,426,2015,32.6,9.1,15.8,8.1,14.9,10.0,4.5,3.6,1.5,0.0,18583.0,0.233241506,0.57943067,0.003213958,0.097337006,0.0,0.059687787
11,1400000US36001001100,36001001100,691,341,2015,29.4,17.8,13.2,6.2,11.6,11.7,4.3,1.0,4.8,0.0,16083.0,0.497536946,0.376026273,0.003284072,0.079638752,0.0,0.011494253
12,1400000US36001001400,36001001400,2354,217,2015,13.4,6.0,12.7,12.4,15.4,14.1,9.1,12.7,2.3,1.9,39464.0,0.746546547,0.107507508,0.0,0.107507508,0.0,0.007207207
13,1400000US36001001500,36001001500,2164,299,2015,14.4,13.0,15.6,10.1,9.3,21.7,3.7,8.6,1.8,1.7,28817.0,0.709579541,0.151495449,0.006501951,0.063502384,0.0,0.0
14,1400000US36001001600,36001001600,1758,139,2015,13.1,7.4,8.3,12.6,11.7,11.6,16.4,8.0,7.0,3.9,45875.0,0.73824228,0.101425178,0.0,0.064845606,0.0,0.013539192
15,1400000US36001001700,36001001700,1970,196,2015,8.0,5.0,8.5,7.0,12.4,22.6,10.8,15.2,7.3,3.2,60743.0,0.685420945,0.154825462,0.0,0.105954825,0.0,0.00698152
16,1400000US36001001801,36001001801,3340,236,2015,6.4,4.0,9.1,8.2,10.1,17.5,12.4,19.9,7.3,5.2,63525.0,0.816,0.096581818,0.0,0.058327273,0.0016,0.005236364
17,1400000US36001001802,36001001802,1895,175,2015,5.1,8.1,8.8,9.4,12.9,24.3,18.7,10.3,1.4,1.0,55302.0,0.785105316,0.100300903,0.002507523,0.075476429,0.0,0.002006018
18,1400000US36001001901,36001001901,1132,11,2015,4.5,0.0,4.6,6.4,17.9,17.4,12.3,26.3,7.9,2.7,71806.0,0.820754717,0.054245283,0.003537736,0.050314465,0.0,0.028694969
19,1400000US36001001902,36001001902,1180,44,2015,0.7,4.2,6.5,3.7,9.3,21.1,32.2,15.2,5.8,1.3,77847.0,0.886397059,0.08125,0.0,0.008455882,0.0,0.0
20,1400000US36001002000,36001002000,2588,486,2015,3.0,10.9,9.5,15.7,11.7,25.4,10.9,9.0,2.5,1.4,47093.0,0.495558739,0.260458453,0.0,0.091260745,0.005444126,0.023065903
21,1400000US36001002100,36001002100,914,289,2015,15.6,2.1,19.5,14.1,11.3,19.0,4.5,8.0,3.8,2.1,33125.0,0.524035207,0.262017603,0.0,0.176371022,0.0,0.016926202
