,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total
0,2014-q3,pelham bay park,BRONX        ,2771.747,ONE ACRE OR LARGER,0,0,0,0,1,1,0,2,19,0,0,19
1,2014-q3,van cortlandt park,BRONX        ,1146.43,ONE ACRE OR LARGER,0,0,2,3,3,3,0,11,12,0,0,12
2,2014-q3,rockaway beach and boardwalk,QUEENS       ,1072.564,ONE ACRE OR LARGER,0,0,2,2,0,8,0,12,3,0,0,3
3,2014-q3,freshkills park,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,33,0,0,33
4,2014-q3,flushing meadows corona park,QUEENS       ,897.69,ONE ACRE OR LARGER,0,0,2,4,4,21,2,33,53,1,0,54
5,2014-q3,latourette park & golf course,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1,32,0,0,32
6,2014-q3,marine park,BROOKLYN     ,798.0,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,28,1,0,29
7,2014-q3,belt parkway/shore parkway,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,52,2,0,54
8,2014-q3,bronx park,BRONX        ,718.373,ONE ACRE OR LARGER,0,0,1,0,0,2,0,3,17,1,0,18
9,2014-q3,franklin d. roosevelt boardwalk and beach,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,15,0,0,15
10,2014-q3,alley pond park,QUEENS       ,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,40,0,0,40
11,2014-q3,prospect park,BROOKLYN     ,526.25,ONE ACRE OR LARGER,0,0,2,1,0,2,0,5,23,0,0,23
12,2014-q3,forest park,QUEENS       ,506.86,ONE ACRE OR LARGER,0,0,3,1,0,3,0,7,37,0,0,37
13,2014-q3,grand central parkway,QUEENS       ,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,64,1,0,65
14,2014-q3,ferry point park,BRONX        ,413.8,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2,15,0,0,15
15,2014-q3,coney island beach & boardwalk,BROOKLYN     ,399.203,ONE ACRE OR LARGER,0,3,2,1,0,8,0,14,10,0,0,10
16,2014-q3,cunningham park,QUEENS       ,358.0,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,21,0,0,21
17,2014-q3,richmond parkway,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,51,0,0,51
18,2014-q3,cross island parkway,QUEENS       ,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,43,0,0,43
19,2014-q3,great kills park,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,10,7,0,17
