,park_name,public_house
0,Community Garden Association,
1,Each One Teach One,2.0
2,Highland Park Childrens Garden,
3,Collyer Brothers Park,
4,Estella Diggs Park,2.0
5,American Veterans Memorial Pier,
6,Harding Park Beautification Project,
7,Frontera Park,
8,Skate Park,
9,Yellowstone Park,
10,Jackie Robinson Playground,
11,Sunset Cove Park,
12,P.S. 173,
13,P.S. 172,
14,Fort Hill Park,
15,P.S. 176,
16,Vernon/throop Av Block Association,2.0
17,Samuel Triangle,3.0
18,Haffen Park,
19,Bethesda Terrace,
20,Hope Garden,2.0
21,Green Gems,
22,Beanstalk Playground,1.0
23,Grand Central Parkway Extension,
24,Horseshoe Playground,2.0
25,Forest Grove,
26,Manley's Pl,
27,Myrtle Avenue Clemens Triangle,
28,Louis Pl Friends,
29,P.S. 3,
30,Simeone Park,
31,P.S. 7,
32,P.S. 6,
33,Washington's Walk,
34,P.S. 4,
35,Studley Triangle,
36,Rockaway Freeway /kohlridir Sq,
37,P.s. 241 - Manhattan,3.0
38,John Allen Payne Park,
39,Inwood Park,
40,Wakefield Playground,
41,Staten Island Industrial Park,
42,Lt. Wm. Tighe Triangle,
43,Crotona Parkway Malls,
44,United Community Centers Youth Farm,
45,P.s. 6 - Staten Island,
46,Claremont Park,
47,Harlem RBI,2.0
48,Thomas Jefferson Park,
49,Chelsea Park,2.0
50,I.S. 391,
51,Sunflower Garden,2.0
52,Barretto Point Park,1.0
53,Cough Triangle,
54,All People's Church Of The Apostolic Faith,
55,Freshkills Park,
56,United We Stand Garden,2.0
57,Bellerose Playground,
58,Wood Park,
59,Georgia Ave Garden,
60,United Block Association Garden,
61,Wagner Houses Pool,2.0
62,Open Road Park,
63,Jes Good Rewards Childeren's Garden,1.0
64,Baisley Pond Park,
65,St. George Park,1.0
66,Marie Curie Park,
67,Bennett Park,
68,Triangle 90,
69,Jennifer's Playground,
70,Soundview Park,
71,Grace Playground,
72,Hook Creek Wildlife Sanctury,
73,P.S. 34,
74,P.S. 37,
75,Paerdegat Park,
76,P.S. 31,
77,P.S. 30,
78,P.S. 32,
79,P.S./I.S. 187,
80,Thorpe Family Playground,1.0
81,Harlem Rose Garden,
82,Ingram Woods,
83,Bryan Park,
84,Sedgwick Playground,1.0
85,Jackson-Forest Community Garden,1.0
86,Cooper Park,1.0
87,London Planetree Playground,
88,Wegener Park,
89,Short Triangle,
90,Samuel N. Bennerson 2nd Playground,2.0
91,Kimlau Square,
92,Laurelton Playground,
93,Bryant Hill Garden,1.0
94,La Isla Garden,
95,Conch Playground,2.0
96,Fidelity Memorial Park (t),
97,Lt. Federico Narvaez Tot Lot,
98,Harlem Art Park,3.0
99,Bedame Sessa Triangle,
100,Willets Point Playground,
101,Shore Park and Parkway,
102,Penn South Playground,2.0
103,Almeda Playground,2.0
104,Alfred E. Smith Playground,1.0
105,John Vincent Daniels Jr. Square,
106,Eastern Parkway Extension,
107,Floral Vineyard,
108,Owl's Head Park,
109,Williamsbridge Square,
110,Powell St Block Association,
111,Joseph Rodman Drake Park,1.0
112,Worth Square,
113,Mentone Playground,1.0
114,Grand Slope,
115,Jackson Avenue Median,
116,Meucci Triangle,
117,Juniper Nor Playground Tennis,
118,Van Cortlandt's Trail,1.0
119,Hamilton Metz Field,
120,Samuel Seabury Playground,
121,Josephine Caminiti Playground,
122,Pink Playground,1.0
123,Boone Slope,2.0
124,Chester Playground,
125,Tramway Plaza,
126,Holcombe Rucker Park,2.0
127,Angelo Campanero Plgd,
128,Bicentennial Veterans Memorial Park,
129,Washington Market Park,
130,Ocean Parkway Malls,
131,Valentine Varian House,
132,Baybridge Green,
133,Nathan Weidenbaum Park,
134,Captain John R Fischer Firefighter Michael C Fiore,
135,Youth Village,1.0
136,Kelly Park,
137,Father Duffy Square,
138,Marine Park,
139,Crotona Playground (11),
140,Vernon New Harvest,
141,Renaissance Playground,3.0
142,Septuagesimo UNO,
143,St. Nicholas - Olive St. Garden,
144,Tottenville Shore Park,
145,Kennedy King Playground,1.0
146,Robert Venable Park,
147,Nehemiah Park,
148,Playground 52 LII,
149,Lindower Park,
150,Marlboro Playground,1.0
151,Nine Heroes Plaza,
152,Brownsville Playground,
153,Judge Angelo Graci Triangle,
154,Cunningham Park,
155,Seven Gables Playground,
156,Butterfly Gardens,
157,St. Nicholas Park,
158,Lieutenant John H. Martinson Playground,
159,Scarangella Park,
160,Gaeta Park,
161,Playground Thirty Five XXXV,
162,Star Spangled Playground,
163,P.s. 246 (poe Center) - Bronx,
164,P.S. 101,
165,P.S. 103,
166,Olmsted Triangle,
167,Harvard Playground,
168,I.S. 2,
169,James A Young Memorial Park,
170,I.S. 62,
171,I.S. 61,
172,McKinley Park,
173,Clove's Tail,
174,Dry Dock Playground,1.0
175,Jesse Ownes Playground Pool,
176,McCarren Park,
177,97th Street Block Association,
178,MacLaughlin Playground,
179,Newtown Barge Playground,
180,P.S. 4 Paradise Garden,
181,Van Nest Park,
182,Nelson Rockefeller Playground,
183,Franz Sigel Park,
184,Rodney Park Center,
185,Sgt. Joyce Kilmer Triangle,
186,Wagner Playground,1.0
187,Brooklyn Bears Carlton Av Garden,1.0
188,Wave Hill,
189,Frederick Johnson Playground,2.0
190,Rock Garden Park,2.0
191,Lowry Triangle,
192,Gouverneur Playground,2.0
193,Clawson Playground,
194,South Brother Island,
195,Adam Clayton Powell Jr. Blvd. Malls,
196,Merriam Playground,
197,The Amazing Garden,
198,P.S. 167,
199,811 Family and Friends Garden,1.0
200,Hillside Park,
201,Petrosino Square,
202,Norelli-Hargreaves Playground,2.0
203,Faber Pool and Park,
204,Admiral Park,
205,Corlears Hook Park,2.0
206,Moore Homestead Playground,
207,MacArthur Park,
208,Kaltenmeier Playground,
209,Todd Memorial Square,
210,Walton Park,
211,Crowley Playground,
212,Maple Woods,
213,Lincoln Terrace / Arthur S. Somers Park,1.0
214,Major Mark Park,
215,W 124th Street Community Garden,1.0
216,Madison Community Greenthumb,
217,Siren Slope,1.0
218,P.S. 29,
219,Newport Playground,
220,P.S. 5,1.0
221,P.S. 22,
222,Athens Square,
223,P.S. 21,
224,P.S. 26,
225,P.S. 24,
226,Abe Lebewohl Park,
227,Neighborhood Park,
228,Cedar Grove Playground,
229,Bowne Playground,
230,Jerry and The Senior Gents,
231,Bunker Ponds Park,
232,Jackson Square,
233,The Creative Little Garden,
234,Van Dyke Playground,3.0
235,Fairmount Playground,
236,Jamaica Bay Park,
237,Plaza 67,
