,Created_Time,park_name,Complaint
0,2014-q3,"""uncle"" vito e. maranzano glendale playground",1
1,2014-q3,adam clayton powell jr. malls,5
2,2014-q3,admiral farragut playground,2
3,2014-q3,albert j. parham playground,3
4,2014-q3,allen mall one,8
5,2014-q3,alley athletic playground,3
6,2014-q3,alley park,2
7,2014-q3,alley pond park,40
8,2014-q3,almeda playground,3
9,2014-q3,ambrosini field,9
10,2014-q3,ampere playground,6
11,2014-q3,anchorage plaza,4
12,2014-q3,annadale playground,3
13,2014-q3,aqueduct walk,7
14,2014-q3,arden woods,5
15,2014-q3,asphalt green,2
16,2014-q3,asser levy park,3
17,2014-q3,asser levy playground,1
18,2014-q3,astoria heights playground,2
19,2014-q3,astoria park,1
20,2014-q3,bailey playground,2
21,2014-q3,baisley pond park,8
22,2014-q3,banneker playground,2
23,2014-q3,barretto point park,2
24,2014-q3,bartel-pritchard square,2
25,2014-q3,bath playground,4
26,2014-q3,bathgate playground,1
27,2014-q3,battery park,7
28,2014-q3,battery park city,8
29,2014-q3,bayside fields,3
30,2014-q3,bayside playground,2
31,2014-q3,bayswater park,9
32,2014-q3,bayview terrace park,3
33,2014-q3,beach 17 playground,3
34,2014-q3,beach channel park,9
35,2014-q3,beach channel playground,4
36,2014-q3,bell malls,12
37,2014-q3,belt parkway,10
38,2014-q3,belt parkway/shore parkway,54
39,2014-q3,bennett park,1
40,2014-q3,bennett rest,1
41,2014-q3,bensonhurst park,5
42,2014-q3,betsy head park,13
43,2014-q3,big bush park,3
44,2014-q3,bill brown playground,1
45,2014-q3,blood root valley,6
46,2014-q3,bloomingdale park,14
47,2014-q3,blue heron park,24
48,2014-q3,bowling green,2
49,2014-q3,bowne park,1
50,2014-q3,bowne playground,1
51,2014-q3,bradys pond park,1
52,2014-q3,breininger park,1
53,2014-q3,breukelen ballfields,11
54,2014-q3,brevoort playground,3
55,2014-q3,brighton playground,2
56,2014-q3,broad channel park,1
57,2014-q3,broadway malls,12
58,2014-q3,bronx park,18
59,2014-q3,bronx river parkway,26
60,2014-q3,brooklyn botanic garden,12
61,2014-q3,brooklyn bridge park,11
62,2014-q3,brooklyn heights promenade,7
63,2014-q3,brooklyn museum,2
64,2014-q3,brookville park,11
65,2014-q3,brower park,8
66,2014-q3,brownsville playground,4
67,2014-q3,bruckner playground,3
68,2014-q3,bulova park,7
69,2014-q3,bunker ponds park,9
70,2014-q3,burns playground,1
71,2014-q3,cadman plaza park,12
72,2014-q3,callahan-kelly playground,8
73,2014-q3,calvert vaux park,5
74,2014-q3,cambria playground,1
75,2014-q3,canarsie park,5
76,2014-q3,captain tilly park,1
77,2014-q3,cardozo playground,1
78,2014-q3,carroll park,2
79,2014-q3,caserta playground,1
80,2014-q3,castle hill park,6
81,2014-q3,castle hill playground,1
82,2014-q3,cedar playground,1
83,2014-q3,centreville playground,3
84,2014-q3,challenge playground,7
85,2014-q3,charlie's place,1
86,2014-q3,chester playground,4
87,2014-q3,city hall park,14
88,2014-q3,city line park,1
89,2014-q3,claremont park,5
90,2014-q3,clawson playground,2
91,2014-q3,clearview park golf course,4
92,2014-q3,clintonville playground,11
93,2014-q3,clove lakes park,17
94,2014-q3,coffey park,9
95,2014-q3,colden playground,2
96,2014-q3,coleman playground,4
97,2014-q3,colgate close,1
98,2014-q3,colonel david marcus playground,4
99,2014-q3,colucci playground,2
100,2014-q3,commodore barry park,7
101,2014-q3,concrete plant park,2
102,2014-q3,coney island beach & boardwalk,10
103,2014-q3,coney island creek park,3
104,2014-q3,conference house park,2
105,2014-q3,cooper park,4
106,2014-q3,corona golf playground,1
107,2014-q3,corporal john a. seravalli playground,3
108,2014-q3,cpl. thompson park,3
109,2014-q3,crescent beach park,9
110,2014-q3,cross island parkway,43
111,2014-q3,crotona park,13
112,2014-q3,crotona parkway malls,4
113,2014-q3,crowley playground,4
114,2014-q3,cunningham park,21
115,2014-q3,cuyler gore park,3
116,2014-q3,cypress hills playground,2
117,2014-q3,d'emic playground,4
118,2014-q3,daniel boone playground,3
119,2014-q3,daniel m. o'connell playground,5
120,2014-q3,de hostos playground,6
121,2014-q3,dean playground,6
122,2014-q3,decatur playground,2
123,2014-q3,deere park,1
124,2014-q3,delphin h. greene playground,5
125,2014-q3,detective joseph mayrose park,9
126,2014-q3,detective keith l williams park,6
127,2014-q3,detective william t. gunn park,4
128,2014-q3,dimattina playground,4
129,2014-q3,dome playground,1
130,2014-q3,dongan playground,2
131,2014-q3,doughboy plaza,1
132,2014-q3,douglaston park golf course,13
133,2014-q3,dr. charles r. drew park,5
134,2014-q3,dr. green playground,4
135,2014-q3,dr. ronald mcnair park,2
136,2014-q3,dubos point wildlife sanctuary,1
137,2014-q3,dugan playground,2
138,2014-q3,dunbar playground,2
139,2014-q3,dutch kills playground,3
140,2014-q3,dyker beach park,28
141,2014-q3,east elmhurst playground,2
142,2014-q3,east river park,1
143,2014-q3,east springfield playground,2
144,2014-q3,eastern parkway,39
145,2014-q3,eibs pond park,3
146,2014-q3,eleanor roosevelt playground,2
147,2014-q3,electric playground,2
148,2014-q3,equity park,1
149,2014-q3,ericsson playground,7
150,2014-q3,evergreen park,5
151,2014-q3,faber pool and park,1
