permit_start_date,permit_end_date,permit_number,description,type,emails_email,emails,phones_phone,phones,websites_website,websites,locations_location_lat,locations_location_lng,locations_location,locations,name
"2013-03-24","2018-03-23","M007-CG","","Specialty Cart","","","","","","","40.741503","-73.988168","","","ALEX LINDOWER PARK TRUCKS"
"2013-07-01","2017-12-31","B329-MT","","Food Cart","","","","","","","40.611646","-73.912717","","","Alfred Loreto Park Mobile Food Truck"
"2013-05-01","2017-12-31","X163-MT","","Mobile Food Truck","","","","","","","40.848450","-73.851653","","","Alley Pond Golf Center"
"2010-11-01","2025-10-31","Q1-DR","Alley Pond Golf Center
74 Hitting Stations, Full Range Field, and Natural Grass Short Game Area
Parties for All Ages Available","Driving Range","","","(718) 225-9187","","","","40.765294","-73.749188","","","Alley Pond Tennis Center"
"2010-11-16","2022-10-10","Q1-A-SB-IT","The Alley Pond Tennis Center, operated by former collegiate and world ranked professional tennis player, Hemel Meghani Cosme, offers a wide variety of tennis programs for adults and juniors as well as a great family friendly environment in which to develop or perfect tennis skills.","Tennis Facility","info@alleypondtenniscenter.com","","(718) 264-2600","","http://www.alleypondtenniscenter.com/","","40.739339","-73.735834","","","Anibal Aviles Playground Mobile Food Truck"
"2013-03-13","2017-12-31","M200-200A/200/229-MT","This mobile food unit is also authorized to operate at Bloomingdale/Ps145 Playground (West 104-West 105, Amsterdam-Columbus), Frederick Douglass Playground (West 101-West 102 & Amsterdam), and Happy Warrior Playground (West 97-West 98 & Amsterdam)","Mobile Food Truck","","","","","","","40.800594","-73.963900","","","Arthur Kill Road Restaurant"
"","","R13-R","","Restaurant","","","","","","","40.561066","-74.168621","","","Astoria Park Food Cart"
"2013-04-16","2017-12-31","Q4-3C","","Food Cart","","","","","","","40.776006","-73.925271","","","Astoria Park Mobile Food Truck"
"2014-07-14","2018-12-31","Q4-1-MT","","Mobile Food Truck","","","","","","","40.779252","-73.923809","","","Astoria Park Mobile Food Truck"
"2014-06-20","2018-12-31","Q4-2-MT","","Mobile Food Truck","","","","","","","40.777515","-73.924718","","","Astoria Pool Merchandise"
"2014-06-27","2018-09-03","Q4-SV","","Souvenir Stand","","","","","","","40.778407","-73.922088","","","Astoria Pool Snack Bar"
"2012-07-06","2020-09-06","Q4-SB","","Snack Bar","surfshackny@yahoo.com","","","","https://surfshackny.wix.com/surfshack","","40.779108","-73.922991","","","Ballfields Cafe"
"2013-06-01","2019-05-31","M10-65-SB","Directly bordering the Heckscher Ballfields in Central Park on its northeast side resides the Ballfields Cafe. Aptly named for its locale, this cafe is frequented by hungry spectators from the ball fields as well as strollers who stop by for a quick meal. This current building replaced an original Ballplayers House at the same site, which stood from 1873 to 1969. This quaint red and cream brick structure with its red-checkered tablecloths and green umbrellas serves up all of its items made to order. Besides the typical ""Take me out to the ball game"" fare, such as hot dogs and hamburgers, patrons will be pleased to find sandwiches and salads at reasonable prices. While dining outdoors, patrons can watch some of the baseball or softball games in action. Music from the nearby Carousel can be heard as it mingles with the cheers and jeers of the crowds as the crack of a bat hits a ball through the air.","Snack Bar","","","(212) 874-7454","","","","40.770313","-73.975901","","","Battery Gardens Restaurant"
"2004-01-16","2020-01-07","M5-F-R","","Restaurant","alex@batterygardens.com","","(212) 809-5508","","http://www.batterygardens.com/","","40.701423","-74.015022","","","Battery Park T-shirt/Souvenir Stand"
"2012-04-09","2017-04-08","M5-TS-SV","","T-Shirt Stand","","","","","","","40.741503","-73.988168","","","Bayside Marina"
"2009-05-01","2024-04-30","Q135-M","","Marina","","","(718) 229-0097","","http://www.baysidemarinany.com/","","40.779798","-73.767052","","","Bike Rent NYC"
"","","M10-37-72-144-BR","Bike Rent NYC serves New York City residents and visitors through daily bike rentals, guided bike tours of Central Park and Brooklyn Bridge, and daily, monthly or annual “hop-on, hop-off” biking programs.","Other","","","","","http://bikerent.nyc/","","","","Bloomingdale Park Mobile Food Truck"
"2015-02-19","2018-12-31","R106-MT","","Mobile Food Truck","","","","","","","40.534967","-74.208083","","","Bronx Equestrian Center"
"2007-12-01","2022-11-30","X39-B-ST","","Stables","bronxequ@bronxequestriancenter.com","","(718) 885-0551","","http://www.bronxequestriancenter.com/","","40.865915","-73.813974","","","Brookville Park Tennis Pro"
"2014-04-05","2018-11-18","Q8-TP","","Tennis Pro","","","","","","","40.669630","-73.788293","","","CAFÉ PRODUCTS CORP."
"2016-08-15","2021-08-14","M10-W59-CG","","Specialty Cart","","","","","","","40.768352","-73.980873","","","Callahan-Kelly Park Newsstand"
"2012-06-01","2017-05-31","B219-NS","","Newsstand","","","","","","","40.678390","-73.903638","","","Central & Roosevelt Park T-shirt Stand"
"2013-04-17","2018-04-16","M10-M53-TS","","T-Shirt Stand","","","","","","","","","Central Park Food Cart"
"2013-02-16","2017-12-31","M10-W93-C","","Food Cart","","","","","","","40.789585","-73.966056","","","Central Park Food Cart"
"2013-02-16","2017-12-31","M10-W96-C","","Food Cart","","","","","","","40.791703","-73.964465","","","Central Park Food Cart"
"2014-01-01","2018-12-31","M10-61-ED-C","","Food Cart","","","","","","","40.765757","-73.972950","","","Central Park Food Cart"
"2015-06-27","2019-12-31","M10-72-ED-C","","Food Cart","","","","","","","40.772689","-73.968742","","","Central Park Food Cart"
"2015-04-30","2019-12-31","M10-74-WD-C","","Food Cart","","","","","","","40.777286","-73.974201","","","Central Park Food Cart"
"2015-07-29","2019-12-31","M10-84-ED-C","","Food Cart","","","","","","","40.78133","-73.963496","","","Central Park Food Cart"
"2016-01-01","2019-12-31","M10-W65-C","","Food Cart","","","","","","","40.770945","-73.977578","","","Central Park Food Cart"
"2013-01-01","2019-12-31","M10-W67-C","","Food Cart","","","","","","","40.772819","-73.976373","","","Central Park Tennis Center"
"2009-04-03","2024-04-02","M10-IT","Located in the heart of New York City(mid park in the mid 90's) the Central Park Tennis Center is one of the
largest and most popular public tennis facilities in the country. Featuring 26 newly reconditioned har tru courts
for public use and 4 newly resurfaced hard courts for tennis lessons and programs which are open from early April
to late November .Also included in our newly remolded club house  is a full service pro shop which includes racquet
stringing,shoes,tennis racquets, tennis balls etc and a snack bar selling  drinks,sandwiches,fruits,baked goods etc....
Please call the tennis hot line for information on the 26 public har tru courts at 212-280-0205/6 To book private tennis
lessons please call 212-316-0800 x.3/4 and to book tennis programs please call 212-316-0800 x.6. Please visit our 
web site at: centralparktenniscenter.com for more information.","Tennis Facility","cptennis@earthlink.net","","(212) 316-0800","","http://centralparktenniscenter.com/","","40.789436","-73.961898","","","Charles Drew Memorial Park Mobile Ice Cream Truck"
"2013-03-15","2017-12-31","Q220-MT","","Mobile Food Truck","","","","","","","40.741503","-73.988168","","","Citi Field Stadium"
"2009-01-01","","Q99-METS","","Baseball Stadium","","","(718) 507-TIXX","","http://www.mets.com","","40.757087","-73.845655","","","City Hall Park Newsstand"
"2013-01-01","2017-12-31","M13-NS","","Newsstand","","","","","","","40.712834","-74.007269","","","Clearview Cafe"
"2010-06-30","2025-06-29","Q10-A-R","The Clearview Cafe, formerly the home of silent film star Rudolph Valentino and Mayor Fiorello LaGuardia, is a fine dining restaurant and banquet hall with breathtaking views of the nearby Throgs Neck Bridge and Little Neck Bay in Queens.  With a golf course view, flanked by an elegant patio, garden, and pond, the 170-seat ground floor, red velvet and mahogany-rich hideaway, which includes a bar and grand fireplace.  The second floor holds a 230-seat banquet space with floor-to-ceiling windows and offers a behind-the-scenes bridal suite that was once the bedroom of Valentino himself.","Restaurant","","","(718) 281 - 2233","","http://www.veranda-restaurant.com/","","40.786630","-73.792330","","","Clearview Golf Course"
"2004-01-15","2024-01-14","Q10-GC","","Golf Course","","","(718) 229-2570","","http://clearview.americangolf.com/","","40.781907","-73.788412","","","Colden Playground Mobile Food Truck"
"2013-03-25","2017-12-31","Q347-MT","","Mobile Food Truck","","","","","","","40.769946","-73.826858","","","Columbus Circle Holiday Market"
"2013-11-27","2018-11-21","M10-CC-AS","Each year from just after Thanksgiving until Christmas Eve, the Columbus Circle Holiday Market, now a holiday tradition in Manhattan, offers a wonderful opportunity for small business owners and artisan crafts people to sell their wares to members of the public looking for unique holiday gifts for friends and family. Items sold at the market range from handmade jewelry and soap to artisan tree ornaments and unique neckties. The market is open 7 days a week during the season.","Art Show","info@urbanspace.com","","212.529.9262","","http://www.urbanspacenyc.com/","","","","Coney Island Beach Mobile Food Truck"
"2014-01-01","2017-12-31","B169-1-MT","","Mobile Food Truck","","","","","","","40.575562","-73.959547","","","Coney Island Cyclone Roller Coaster"
"2012-01-01","2026-12-31","B368-O","","Other","","","","","","","","","Conservatory Water Snack Bar"
"2008-09-18","2020-09-17","M10(15)-SB","Perched on the south side of Central Park's Conservatory Water, our Snack Shack offers gourmet snacks to park visitors from organic solar-popped popcorn to organic Blue Marble ice cream. Come enjoy one of our delicious snacks as you stroll around this peaceful sailboat pond.","Snack Bar","","","(646) 306-3815","","http://www.lepainquotidien.com/store/central-park-conservatory-water/","","40.774058","-73.966508","","","Crocheron Park Mobile Food Truck"
"2014-06-03","2018-12-31","Q12-MT","","Mobile Food Truck","","","","","","","40.772058","-73.769571","","","Crocheron Park Tennis Pro"
"2014-04-05","2018-11-08","Q12-TP","","Tennis Pro","","","","","","","40.772189","-73.768785","","","Crotona Park Mobile Food Truck"
"2014-04-11","2018-12-31","X10-(P)MT","","Mobile Food Truck","","","","","","","40.839918","-73.897991","","","Crotona Park Mobile Food Truck"
"2014-04-11","2018-12-31","X10-(8)MT","","Mobile Food Truck","","","","","","","40.841866","-73.894386","","","Crotona Park Mobile Food Truck"
"2014-04-11","2018-12-31","X10-(5)MT","","Mobile Food Truck","","","","","","","40.837321","-73.892584","","","Cunningham Park Mobile Food Truck"
"2014-08-11","2018-12-31","Q21-2-MT","","Mobile Food Truck","","","","","","","40.736970","-73.770129","","","Cunningham Tennis Center"
"2007-08-01","2019-07-31","Q21-A-IT","","Tennis Facility","","","(718) 740-6800","","https://cunninghamtennis.com/","","40.729388","-73.772785","","","Cyclone Roller Coaster"
"2012-01-01","2026-12-31","B368-O","The Cyclone is one of America's oldest roller-coasters. Since its opening in 1927, the Cyclone has been a destination for thrill seekers from around the globe.  Whether you're an avid rider or a more placid adventurer, the Cyclone's physical beauty is also worthy of admiration, and has been recognized as both a New York City and a National Historic Landmark.  What are you waiting for, come on down and experience the magic and excitement of Coney Island!","Amusement Park","","","(718) 265-2100","","http://www.coneyislandcyclone.com/","","40.574583","-73.977734","","","Dag Hammarskjold Plaza Cafe"
"2013-08-21","2022-08-20","M203C-SB","","Snack Bar","","","","","http://hospitalityholdings.com.s168780.gridserver.com/index.php&Alpha;id=patio","","40.752058","-73.96816","","","Devoe Park Mobile Food Truck"
"2013-06-04","2017-12-31","X13-MT","","Mobile Food Truck","","","","","","","40.863183","-73.904762","","","Diamond Point Yacht Club"
